Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
9,20,6,93,65,9.6,No,10,70070,81,187.9
7.6,20,9,88,48,8.9,No,14,45227,76,223.7
7.5,20,10,92,69,8.6,Yes,13,57012,77,183.3
7.1,20,9,77,34,8.7,No,17,41608,74,214.3
7.2,20,15,83,47,9.6,No,17,49114,76,204.1
6.9,20,17,78,60,9.6,No,17,41988,80,260.6
6.8,20,17,78,29,7.6,No,20,45780,77,188.7
7,20,12,87,53,8.6,No,16,46979,65,204.3
6,20,17,91,70,9.4,No,14,58927,83,215.6
7.9,20,11,84,55,8.2,Yes,12,49124,76,171
6.5,21,13,79,50,8.7,Yes,16,45927,77,266.1
5.5,21,11,81,45,8.4,Yes,20,33814,75,210.4
6.9,21,15,80,31,7.8,No,15,46734,79,166.4
8.2,21,20,84,42,8.9,Yes,12,55678,77,177.9
7.6,21,11,91,55,6.3,Yes,14,47611,81,142.5
6.8,21,17,77,54,9.5,No,18,40471,71,232.9
5.5,21,13,92,73,5.4,No,10,48286,68,161.6
7,21,12,93,70,6.6,No,11,55399,72,149.2
6,21,11,82,43,5.1,Yes,17,41858,70,179.3
4.9,21,12,86,45,5.9,No,18,36182,49,282.1
4.7,21,19,84,46,9.6,Yes,21,41622,68,266.4
5.4,21,17,85,48,8,Yes,18,40112,72,244.4
7.8,21,17,90,46,9.9,Yes,15,51960,77,263.1
8.7,21,13,89,74,6.1,No,10,54669,78,160.7
6.3,21,13,84,80,6,No,12,44625,76,148.3
6.8,21,12,74,31,8.5,No,21,32163,51,331
7.4,21,21,76,44,7.3,No,17,42804,73,215.1
6.9,21,22,87,57,8.9,Yes,18,56012,77,227.3
4.7,21,21,89,58,9.6,No,18,46727,78,270.1
7.1,21,24,85,58,10.2,No,13,69460,69,183.1
5.6,21,22,79,52,7.7,Yes,19,51774,59,194.9
8,21,12,89,62,7.2,No,10,54262,86,152.2
6.5,21,9,81,54,8.6,No,17,45507,75,178
6.6,22,8,90,54,9.5,No,16,62077,76,203.9
7.4,22,10,86,64,9,Yes,17,48478,75,221.7
7.3,22,8,80,48,9.2,No,11,58499,73,179
8.3,22,6,97,65,7.1,No,9,51016,79,157.9
5.6,22,22,80,50,9.7,No,21,43614,72,202.4
6.9,22,16,86,49,7.8,No,17,44141,83,178.6
8.6,22,9,88,54,9.1,No,12,68159,82,186.6
5.8,22,17,94,45,8.3,No,13,56711,74,238.5
7.6,22,20,90,62,8.2,No,14,69566,84,190.9
7.4,22,22,78,40,9.7,No,16,54031,82,190
5.5,22,17,94,64,4.8,No,17,47638,78,125.2
7.7,22,7,86,55,8.6,Yes,13,44307,83,191.6
7.8,23,14,83,56,9.4,No,15,55203,76,240.1
6.6,23,15,82,48,8.4,No,20,39882,75,222.3
5.4,23,19,80,43,8.6,No,15,45112,71,211.8
8.1,23,15,86,66,8.6,No,14,53163,77,165.6
7.4,23,13,84,45,9,Yes,14,54125,79,187.3
8,23,7,93,71,9.6,No,10,63801,81,183.5
7,23,8,84,55,8.3,No,15,49980,75,188
8.1,23,6,92,59,6.8,No,9,62290,81,129.5
8.2,23,11,91,65,7.9,No,13,51488,76,161.8
7.6,23,9,95,71,6.3,No,10,62698,76,154
8.2,23,14,83,40,6.1,No,12,65000,68,185.4
6,23,10,83,49,8.6,No,19,42342,70,219.4
6.7,23,20,83,41,9.8,Yes,18,39333,73,290.7
6.4,23,13,88,49,6.1,No,10,52890,72,162.7
6.2,23,12,72,27,7.5,Yes,23,26582,78,241.3
5.8,24,12,83,64,9.2,No,19,41649,82,281
7.2,24,13,80,51,8.5,No,15,51126,83,198
7,24,11,87,42,9.1,No,16,49964,78,162.3
7.7,24,15,89,56,9.3,No,10,68343,74,188.1
8.1,24,6,92,64,9.3,No,10,62857,79,178.4
6.1,24,11,79,46,9.4,Yes,18,40448,70,284.5
6.4,24,10,81,47,9.6,Yes,17,49583,76,239.3
